"Points:0","Points:1","Points:2"
208.725,128.496,66.7596
167.703,129.626,67.2718
202.623,130.315,65.9562
204.878,130.151,66.4341
207.65,129.527,66.8129
166.969,131.121,66.4814
167.34,130.818,67.0312
200.467,131.42,66.2678
202.661,131.076,66.4626
204.547,131.015,66.8793
166.948,131.738,66.7536
197.679,132.021,66.2573
199.39,131.885,66.4784
200.951,132,66.8896
166.426,133.432,66.2383
166.765,132.72,66.6164
178.816,133.329,66.5846
180.348,133.189,66.5974
188.486,132.942,67.887
187.641,133.303,66.6172
192.664,133.117,66.4895
193.806,132.84,67.1959
195.074,132.678,67.0891
196.171,132.587,67.0519
197.26,132.442,66.9109
198.405,132.416,67.067
199.565,132.38,67.147
166.235,134.366,65.9549
167.167,134.269,66.5802
168.889,134.054,67.6864
175.489,134.753,66.0293
176.75,133.943,66.7156
190.363,133.351,66.7233
192.058,133.227,66.8318
168.047,135.149,66.6575
169.022,135.916,66.654
172.853,136.068,66.6698
168.684,136.531,66.0853
169.97,136.201,66.748
169.631,136.625,66.1511
171.725,136.286,66.7149
183.768,114.99,67.9601
178.935,116.306,67.1856
179.371,115.412,68.1189
181.475,115.407,67.5153
182.334,115.137,67.7527
184.826,115.278,68.0399
186.869,115.963,67.6688
171.048,116.981,67.7038
171.893,116.752,67.6335
171.94,115.779,68.0252
173.968,116.599,67.5835
174.8,116.409,67.6946
176.383,116.904,67.25
176.15,116.304,67.7532
177.871,115.926,67.8808
187.586,116.505,67.7285
188.646,117.117,67.618
170.61,117.585,67.6641
171.831,118.062,67.1529
172.753,118.13,66.9353
173.745,117.411,67.1639
175.17,117.559,66.9548
189.703,118.048,67.5903
169.743,117.864,67.9703
171.047,118.875,67.1203
190.772,118.816,67.3262
170.106,119.666,67.4075
191.77,119.64,67.3597
169.559,120.304,67.6908
192.447,120.517,67.8707
193.973,120.867,67.349
196.241,121.79,67.5493
169.853,122.474,67.1613
169.256,122.809,67.7167
195.513,122.19,68.3719
197.476,122.32,68.0242
199.226,122.457,67.9031
200.854,122.536,67.8881
201.812,122.565,67.8913
202.93,122.608,68.028
203.949,122.635,67.9177
204.966,122.76,67.8473
206.5,122.883,68.1325
169.324,124.127,67.3254
206.548,123.085,67.7324
209.158,124.364,67.6588
208.416,123.666,68.048
209.76,125.103,67.5089
210.566,124.561,68.3259
168.908,125.519,67.2965
168.511,125.679,67.969
210.152,126.15,67.3215
211.174,125.683,67.9716
168.248,126.943,67.9806
209.776,127.094,67.0148
210.8,126.966,67.5015
168.084,127.873,68.1227
209.798,128.395,67.1336
168.013,128.827,68.3704
209.012,129.259,67.1046
210.148,129.034,67.3887
211.005,128.281,67.5995
167.829,129.875,68.0021
206.405,130.447,66.9609
208.764,130.275,67.5003
210.236,129.978,67.7467
207.182,131.023,67.5183
208.84,131.209,68.1173
167.388,132.349,67.298
167.685,131.592,67.7555
203.721,132.274,67.798
203.943,131.655,67.2206
205.468,131.896,67.8342
207.658,131.711,68.1595
167.225,133.352,66.9673
168.206,133.241,67.6556
177.657,133.444,67.2332
178.484,132.922,68.9605
181.081,132.816,68.152
