"Points:0","Points:1","Points:2"
76.777,27.6672,-137.721
76.8653,29.0678,-135.401
76.3658,26.8791,-137.82
75.9963,26.8851,-136.345
75.9586,27.0939,-135.596
78.8012,28.2013,-154.186
79.1534,28.3484,-153.309
78.9974,27.808,-154.981
80.6144,26.1216,-155.333
81.239,27.7339,-152.126
80.5349,28.0745,-152.14
79.5074,28.3354,-152.462
78.1077,28.3194,-153.542
78.4732,28.3661,-152.692
77.1502,28.0607,-154.707
77.9315,27.9796,-155.189
78.5758,27.5521,-155.607
79.2572,27.0625,-155.741
81.2722,25.4218,-155.205
81.9213,27.2428,-151.757
81.4446,27.6152,-151.27
79.8564,28.2225,-151.605
88.0902,26.6421,-154.315
88.7657,26.6147,-155.005
88.2173,29.6093,-154.214
87.3439,26.6618,-153.723
86.8286,28.0251,-153.023
87.8318,25.8891,-154.268
89.1314,25.8554,-155.505
89.2166,30.3349,-155.521
86.6079,26.6215,-153.231
89.6604,28.8238,-156.288
94.3575,21.9881,-163.559
93.4569,19.0323,-163.361
92.5532,20.5391,-163.382
94.8856,22.7232,-163.577
92.1955,19.8082,-163.07
92.5579,19.2073,-163.029
92.5635,21.8605,-163.712
92.0107,21.3254,-163.465
91.7699,20.4401,-162.87
87.5402,20.6783,-155.217
85.8726,20.7965,-155.169
88.7216,19.8752,-155.658
84.8627,20.0169,-155.617
92.6102,28.7753,-164.749
92.2404,28.0353,-164.614
93.6368,28.7452,-164.623
91.8849,27.3046,-164.404
95.0157,27.2118,-163.747
93.1371,29.5103,-164.716
91.8933,28.7948,-164.335
94.155,29.4797,-164.366
91.6733,26.5596,-164.151
91.7864,25.8165,-164.298
91.3239,27.3186,-163.678
92.3244,25.0607,-164.329
94.4043,24.9884,-163.691
95.4948,26.4867,-163.464
96.0615,27.1705,-163.432
95.574,27.9851,-163.482
94.7288,32.4425,-163.787
96.0051,30.1728,-163.239
97.515,31.7375,-162.539
97.0547,32.3706,-162.367
94.1845,30.9891,-164.252
96.6717,29.3628,-163.119
97.1815,30.108,-163.008
97.6906,30.8633,-162.938
98.0663,32.4915,-162.429
97.6838,33.0018,-162.116
96.9234,33.7241,-162.104
94.2603,33.1967,-163.884
93.6637,32.5647,-164.188
93.0189,31.9136,-164.371
90.3671,36.301,-157.681
88.4887,35.6042,-154.266
88.8046,37.8562,-154.326
95.6707,37.0724,-162.291
94.0163,37.002,-162.834
93.53,36.1668,-163.154
93.5835,35.086,-163.538
92.9711,35.4532,-163.317
96.9976,34.6017,-161.906
97.5144,35.3659,-161.547
94.5367,37.3665,-162.637
95.0184,37.7418,-162.357
93.8714,37.7753,-162.448
93.2197,37.1144,-162.602
92.7123,36.3791,-162.722
92.4923,34.7668,-163.33
92.2201,35.4931,-162.747
92.6364,39.415,-160.321
93.2498,40.3672,-160.188
93.187,40.8674,-159.609
91.8267,37.7583,-160.496
93.2495,39.7487,-160.729
92.329,37.8562,-161.266
93.86,40.8298,-160.197
94.0043,40.0675,-160.9
93.7696,41.5402,-159.42
90.8522,37.7899,-158.418
91.008,39.4335,-157.61
92.9427,38.3198,-161.612
93.4079,38.9861,-161.449
83.3363,27.5592,-150.89
84.1541,27.5369,-151.343
84.9439,28.9548,-151.386
83.5921,30.4808,-150.176
82.3306,28.1055,-149.937
82.712,27.8157,-150.353
82.4466,27.375,-150.923
83.652,26.8319,-151.575
84.8739,31.187,-151.143
81.77,27.6231,-150.429
81.647,28.1843,-149.618
81.4738,29.0374,-148.912
82.5562,26.8344,-151.809
82.1178,35.597,-147.478
81.3959,32.7992,-148.245
82.0712,35.7627,-148.811
81.8151,34.9397,-148.783
81.7358,34.0828,-146.012
82.5738,36.3143,-147.543
81.1095,32.0423,-146.739
81.3616,32.7425,-145.845
82.4496,36.4539,-149.405
82.2082,35.011,-149.618
82.4275,36.6022,-148.642
82.0704,34.264,-149.421
82.2778,33.5182,-149.577
82.3783,32.1941,-149.376
83.224,35.781,-146.208
82.8582,35.079,-145.488
81.6934,32.7102,-144.992
82.1559,34.2485,-145.345
79.2469,33.6872,-134.25
81.8056,33.4127,-137.306
83.6875,43.9043,-137.823
84.1499,43.8934,-138.611
84.4431,40.1396,-137.437
85.1254,42.5446,-138.615
85.7337,41.7068,-138.651
84.9903,43.8309,-139.171
83.5012,44.6776,-137.068
84.1222,44.5537,-138.353
84.6899,44.5494,-139.015
89.8801,40.9359,-154.188
90.0969,41.5292,-153.978
89.157,42.6578,-151.128
88.5385,42.0955,-151.141
88.6787,39.3279,-153.519
88.2837,39.3378,-153.033
89.5706,39.3063,-154.857
90.7921,43.7547,-152.294
90.3198,43.4561,-151.64
87.7397,40.0906,-152.009
87.8439,41.7239,-150.649
89.3008,42.9512,-150.308
87.3803,41.2275,-150.751
99.0839,44.316,-155.807
97.1514,44.536,-153.913
97.9883,45.2298,-153.206
97.1256,44.8945,-153.151
97.3486,44.0546,-155.322
97.8929,43.8491,-155.446
98.5828,43.6105,-155.906
100.049,45.6,-156.242
97.7201,45.8752,-152.377
97.2872,45.1982,-152.594
95.9848,44.8385,-153.467
95.7815,44.6495,-155.109
96.4432,44.3319,-155.637
97.6187,43.4387,-156.018
98.1906,43.0629,-156.289
98.648,42.851,-156.76
90.2983,43.7671,-142.302
88.993,43.7509,-141.046
88.9498,46.7539,-141.188
89.7679,42.9911,-141.957
90.4187,42.9261,-143.185
90.8172,43.6845,-143.078
91.0544,44.4578,-143.027
91.2895,45.9419,-143.103
91.3635,44.3307,-143.604
91.6958,45.2015,-143.645
93.9333,49.6169,-146.245
92.853,48.1539,-145.087
93.5244,46.6357,-145.681
94.8231,48.8451,-147.581
92.539,50.4013,-144.253
92.1681,48.9111,-144.167
94.5557,45.6816,-147.63
94.408,46.0242,-147.06
92.7593,45.7848,-144.845
0.437097,-79.3324,-48.5146
4.44279,-79.4034,-50.0081
4.27204,-78.2608,-46.0119
0.24838,-79.1393,-47.7368
0.614015,-78.8826,-46.8577
0.904739,-78.6231,-46.1487
3.16405,-77.1869,-43.2979
0.845418,-78.2742,-45.2403
5.97024,-77.1164,-43.8156
4.6184,-76.2827,-42.0161
6.54913,-75.829,-41.8263
